Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
80,Entry long,2010-10-13 14:15,PYR1-20L,12819.7,20,256394,-108646.79,-1.21,17136.21,0.19,-113063.79,-1.26,2706108.5,54.12
81,Exit long,2010-11-11 13:00,EXIT - Below ST,13027,12,152034,139357.47,2.62,267888.8,5.03,-6413.19,-0.12,2841435.2,56.83
81,Entry long,2010-11-01 09:15,ENTRY-12L,12669.5,12,152034,139357.47,2.62,267888.8,5.03,-6413.19,-0.12,2841435.2,56.83
82,Exit long,2010-11-11 13:00,EXIT - Below ST,13027,6,76626,48342.42,1.80,112608.09,4.19,-10661.91,-0.40,2892459.5,57.85
82,Entry long,2010-11-01 10:30,PYR1-6L,12771,6,76626,48342.42,1.80,112608.09,4.19,-10661.91,-0.40,2892459.5,57.85
83,Exit long,2010-11-11 13:00,EXIT - Below ST,13027,3,38535,16393.44,1.21,48526.27,3.59,-11796.22,-0.87,2910201.8,58.20
83,Entry long,2010-11-02 11:45,PYR2-3L,12845,3,38535,16393.44,1.21,48526.27,3.59,-11796.22,-0.87,2910201.8,58.20
84,Exit long,2010-12-03 13:00,EXIT - Below ST,12332,17,213639,-154639.9,-2.07,4422.64,0.06,-183597.36,-2.45,2755561.8,55.11
84,Entry long,2010-12-02 10:30,ENTRY-17L,12567,17,213639,-154639.9,-2.07,4422.64,0.06,-183597.36,-2.45,2755561.8,55.11
85,Exit long,2011-01-04 09:15,EXIT - Below ST,11737,35,414750,-167319.08,-1.15,114782.5,0.79,-166416.25,-1.15,2580743.8,51.61
85,Entry long,2010-12-31 11:45,ENTRY-35L,11850,35,414750,-167319.08,-1.15,114782.5,0.79,-166416.25,-1.15,2580743.8,51.61
86,Exit long,2011-01-04 09:15,EXIT - Below ST,11737,18,214257.6,-119599.33,-1.59,24504.98,0.33,-119135.02,-1.59,2468643.5,49.37
86,Entry long,2011-01-03 10:30,PYR1-18L,11903.2,18,214257.6,-119599.33,-1.59,24504.98,0.33,-119135.02,-1.59,2468643.5,49.37
87,Exit long,2011-02-18 11:45,EXIT - Below ST,11043,28,311640,-106989.54,-0.98,135798.6,1.24,-123607.4,-1.13,2356168.8,47.12
87,Entry long,2011-02-17 13:00,ENTRY-28L,11130,28,311640,-106989.54,-0.98,135798.6,1.24,-123607.4,-1.13,2356168.8,47.12
88,Exit long,2011-02-18 11:45,EXIT - Below ST,11043,14,156718.8,-84984.23,-1.55,0,0.00,-93293.16,-1.70,2276669.8,45.53
88,Entry long,2011-02-18 09:15,PYR1-14L,11194.2,14,156718.8,-84984.23,-1.55,0,0.00,-93293.16,-1.70,2276669.8,45.53
89,Exit long,2011-03-07 09:15,EXIT - Below ST,10751.8,14,153188,-103827.96,-1.93,99008.42,1.84,-122667.58,-2.29,2170132.2,43.40
89,Entry long,2011-03-01 14:15,EOD-ENTRY-14L,10942,14,153188,-103827.96,-1.93,99008.42,1.84,-122667.58,-2.29,2170132.2,43.40
