Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
78,Exit long,2010-03-30 14:15,EXIT - Basso Stop,9497.75,7,65956.8,16143.03,0.70,42063.76,1.82,-6299.24,-0.27,1133818.2,22.68
78,Entry long,2010-03-26 13:15,PYR1-7L,9422.4,7,65956.8,16143.03,0.70,42063.76,1.82,-6299.24,-0.27,1133818.2,22.68
79,Exit long,2010-04-22 15:15,EXIT - Basso Stop,9585.75,11,104524.75,28473.06,0.78,88164.57,2.41,-36921.93,-1.01,1160447.2,23.21
79,Entry long,2010-04-20 11:15,ENTRY-11L,9502.25,11,104524.75,28473.06,0.78,88164.57,2.41,-36921.93,-1.01,1160447.2,23.21
80,Exit long,2010-04-22 15:15,EXIT - Basso Stop,9585.75,5,47751,4546.85,0.27,31679.36,1.89,-8833.14,-0.53,1165829.8,23.32
80,Entry long,2010-04-21 09:15,PYR1-5L,9550.2,5,47751,4546.85,0.27,31679.36,1.89,-8833.14,-0.53,1165829.8,23.32
81,Exit long,2010-04-22 15:15,EXIT - Basso Stop,9585.75,5,47998.75,-4128.73,-0.25,23003.77,1.37,-9344.98,-0.56,1162541,23.25
81,Entry long,2010-04-22 10:15,PYR2-5L,9599.75,5,47998.75,-4128.73,-0.25,23003.77,1.37,-9344.98,-0.56,1162541,23.25
82,Exit long,2010-04-22 15:15,EXIT - Basso Stop,9585.75,1,9631.25,-1928.8,-0.57,3497.7,1.04,-2972.05,-0.88,1160780.8,23.22
82,Entry long,2010-04-22 11:15,PYR3-1L,9631.25,1,9631.25,-1928.8,-0.57,3497.7,1.04,-2972.05,-0.88,1160780.8,23.22
83,Exit long,2010-04-27 09:15,EXIT - Basso Stop,9795.75,1,9775.25,375.01,0.11,3390.18,0.99,-914.82,-0.27,1157387.4,23.15
83,Entry long,2010-04-23 13:15,ENTRY-17L,9775.25,1,9775.25,375.01,0.11,3390.18,0.99,-914.82,-0.27,1157387.4,23.15
84,Exit long,2010-04-27 11:15,EXIT - Basso Stop,9768,16,156404,-9532.11,-0.17,54242.93,0.99,-14637.07,-0.27,1150592.4,23.01
84,Entry long,2010-04-23 13:15,ENTRY-17L,9775.25,16,156404,-9532.11,-0.17,54242.93,0.99,-14637.07,-0.27,1150592.4,23.01
85,Exit long,2010-04-27 11:15,EXIT - Basso Stop,9768,1,9813.25,-1926.42,-0.56,2059.52,0.60,-2245.48,-0.65,1148837.6,22.98
85,Entry long,2010-04-23 15:15,PYR1-5L,9813.25,1,9813.25,-1926.42,-0.56,2059.52,0.60,-2245.48,-0.65,1148837.6,22.98
86,Exit long,2010-04-27 11:15,EXIT - Basso Stop,9768,4,39253,-7705.69,-0.56,8238.07,0.60,-8981.93,-0.65,1141818.9,22.84
